date,score
2024-12-16,43.93
2024-12-23,30.33
2024-12-30,0.0
2025-01-06,15.69
2025-01-13,23.53
2025-01-20,32.42
2025-01-27,32.95
2025-02-03,39.75
2025-02-10,92.0
2025-02-17,48.0
2025-02-24,57.0
2025-03-03,100.0
2025-03-10,49.0
2025-03-17,53.0
2025-03-24,50.0
2025-03-31,50.0
2025-04-07,54.0
2025-04-14,48.0
2025-04-21,44.0
2025-04-28,47.0
2025-05-05,47.0
2025-05-12,39.0
2025-05-19,36.0
2025-05-26,34.0
2025-06-02,21.0
2025-06-09,29.0
2025-06-16,20.0
2025-06-23,24.0
2025-06-30,36.0
2025-07-07,37.0
2025-07-14,23.0
2025-07-21,33.0
2025-07-28,23.0
2025-08-04,46.0
2025-08-11,31.5
2025-08-18,26.38
2025-08-25,24.91
2025-09-01,30.77
2025-09-08,35.17
2025-09-15,34.44
2025-09-22,48.36
2025-09-29,54.22
2025-10-06,49.82
2025-10-13,55.68
2025-10-20,36.63
2025-10-27,43.96
2025-11-03,65.21
2025-11-10,64.47
2025-11-17,65.21
2025-11-24,68.87
2025-12-01,73.27
2025-12-08,73.27
2025-12-15,64.47
2025-12-22,49.82
2025-12-29,43.96
2026-01-05,25.64
2026-01-12,48.36
2026-01-19,47.62
2026-01-26,63.01
2026-02-02,62.28
