date,score,active
2023-03-06,5.52,0
2023-03-13,9.03,0
2023-03-20,7.93,0
2023-03-27,9.03,0
2023-04-03,6.83,0
2023-04-10,6.32,0
2023-04-17,10.04,0
2023-04-24,6.83,0
2023-05-01,8.63,0
2023-05-08,9.24,0
2023-05-15,7.13,0
2023-05-22,6.63,0
2023-05-29,7.93,0
2023-06-05,5.42,0
2023-06-12,6.02,0
2023-06-19,4.42,0
2023-06-26,3.51,0
2023-07-03,4.42,0
2023-07-10,3.61,0
2023-07-17,3.91,0
2023-07-24,3.81,0
2023-07-31,4.32,0
2023-08-07,3.4,0
2023-08-14,4.0,0
2023-08-21,6.66,0
2023-08-28,7.4,0
2023-09-04,3.92,0
2023-09-11,3.85,0
2023-09-18,4.37,0
2023-09-25,4.51,0
2023-10-02,4.96,0
2023-10-09,5.25,0
2023-10-16,4.22,0
2023-10-23,4.74,0
2023-10-30,4.96,0
2023-11-06,7.1,0
2023-11-13,4.51,0
2023-11-20,4.74,0
2023-11-27,3.85,0
2023-12-04,4.74,0
2023-12-11,4.51,0
2023-12-18,4.29,0
2023-12-25,3.26,0
2024-01-01,2.44,0
2024-01-08,2.74,0
2024-01-15,3.26,0
2024-01-22,3.18,0
2024-01-29,3.48,0
2024-02-05,3.63,0
2024-02-12,3.54,0
2024-02-19,8.86,0
2024-02-26,4.69,0
2024-03-04,4.16,0
2024-03-11,3.9,0
2024-03-18,3.72,0
2024-03-25,3.81,0
2024-04-01,3.54,0
2024-04-08,3.63,0
2024-04-15,4.34,0
2024-04-22,4.25,0
2024-04-29,4.34,0
2024-05-06,4.52,0
2024-05-13,4.52,0
2024-05-20,3.72,0
2024-05-27,3.9,0
2024-06-03,3.28,0
2024-06-10,3.19,0
2024-06-17,3.01,0
2024-06-24,2.39,0
2024-07-01,2.48,0
2024-07-08,3.01,0
2024-07-15,3.28,0
2024-07-22,2.57,0
2024-07-29,3.19,0
2024-08-05,40.1,1
2024-08-12,19.25,0
2024-08-19,4.41,0
2024-08-26,3.61,0
2024-09-02,3.61,0
2024-09-09,4.41,0
2024-09-16,4.81,0
2024-09-23,5.21,0
2024-09-30,4.01,0
2024-10-07,3.61,0
2024-10-14,3.21,0
2024-10-21,3.61,0
2024-10-28,3.61,0
2024-11-04,3.61,0
2024-11-11,5.21,0
2024-11-18,4.81,0
2024-11-25,4.41,0
2024-12-02,3.21,0
2024-12-09,3.61,0
2024-12-16,3.61,0
2024-12-23,3.21,0
2024-12-30,2.41,0
2025-01-06,2.41,0
2025-01-13,2.81,0
2025-01-20,3.21,0
2025-01-27,2.81,0
2025-02-03,5.52,0
2025-02-10,3.31,0
2025-02-17,3.87,0
2025-02-24,4.97,0
2025-03-03,6.63,0
2025-03-10,47.51,1
2025-03-17,55.25,1
2025-03-24,9.94,0
2025-03-31,8.84,0
2025-04-07,40.88,0
2025-04-14,24.86,0
2025-04-21,8.84,0
2025-04-28,8.84,0
2025-05-05,13.26,0
2025-05-12,7.18,0
2025-05-19,5.52,0
2025-05-26,4.42,0
2025-06-02,3.87,0
2025-06-09,6.08,0
2025-06-16,3.87,0
2025-06-23,3.31,0
2025-06-30,3.31,0
2025-07-07,3.31,0
2025-07-14,3.31,0
2025-07-21,4.42,0
2025-07-28,3.87,0
2025-08-04,4.97,0
2025-08-11,4.81,0
2025-08-18,4.2,0
2025-08-25,3.36,0
2025-09-01,4.05,0
2025-09-08,5.27,0
2025-09-15,5.04,0
2025-09-22,5.42,0
2025-09-29,4.43,0
2025-10-06,4.73,0
2025-10-13,4.81,0
2025-10-20,4.35,0
2025-10-27,5.04,0
2025-11-03,5.42,0
2025-11-10,5.42,0
2025-11-17,5.34,0
2025-11-24,7.63,0
2025-12-01,4.35,0
2025-12-08,4.88,0
2025-12-15,4.66,0
2025-12-22,4.58,0
2025-12-29,3.13,0
2026-01-05,3.28,0
2026-01-12,3.89,0
2026-01-19,4.35,0
2026-01-26,4.43,0
2026-02-02,4.88,0
2026-02-09,7.27,0
2026-02-16,5.43,0
2026-02-23,6.35,0
2026-03-02,6.26,0
2026-03-09,6.9,0
2026-03-16,5.8,0
2026-03-23,7.73,0
2026-03-30,9.2,0
2026-04-06,7.82,0
2026-04-13,6.07,0
2026-04-20,6.53,0
2026-04-27,5.8,0
2026-05-04,4.69,0
2026-05-11,4.79,0
